Ourcontigname,topnrMatch,Description,GOBP,GOMF,Keywords
contig150098,predicted protein [Nematostella vectensis] gi|156222235|gb|EDO43081.1| predicted protein [Nematostella vectensis],Monocarboxylate transporter 10,No_GOMF,basolateral plasma membrane (GO:0016323);integral to membrane (GO:0016021);,Alternative splicing;Cell membrane;Complete proteome;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix;Transport.;
contig79613_159385,hypothetical protein A044-C2 [Acropora millepora],Uncharacterized protein C21orf63 homolog,sugar binding (GO:0005529);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);,Alternative splicing;Cell membrane;Glycoprotein;Lectin;Membrane;Phosphoprotein;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig82168_160346_218108_157452_210903,predicted protein [Nematostella vectensis] gi|156226544|gb|EDO47353.1| predicted protein [Nematostella vectensis],Uncharacterized protein C21orf63 homolog,sugar binding (GO:0005529);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);,Alternative splicing;Cell membrane;Glycoprotein;Lectin;Membrane;Phosphoprotein;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig73845,nematoblast-specific protein nb035-sv2 [Hydra magnipapillata],Extensin-1,structural constituent of cell wall (GO:0005199);,primary cell wall (GO:0009530);,Alternative splicing;Cell wall;Cell wall biogenesis/degradation;Complete proteome;Glycoprotein;Hydroxylation;Reference proteome;Repeat;Secreted;Signal.;
contig76528,nematoblast-specific protein nb035-sv2 [Hydra magnipapillata],Extensin-1,structural constituent of cell wall (GO:0005199);,primary cell wall (GO:0009530);,Alternative splicing;Cell wall;Cell wall biogenesis/degradation;Complete proteome;Glycoprotein;Hydroxylation;Reference proteome;Repeat;Secreted;Signal.;
contig75111,predicted protein [Nematostella vectensis] gi|156210285|gb|EDO31471.1| predicted protein [Nematostella vectensis],LDLR chaperone MESD,No_GOMF,endoplasmic reticulum (GO:0005783);,Alternative splicing;Chaperone;Complete proteome;Endoplasmic reticulum;Reference proteome;Signal;Wnt signaling pathway.;
contig146969,predicted protein [Nematostella vectensis] gi|156212261|gb|EDO33327.1| predicted protein [Nematostella vectensis],PC3-like endoprotease variant B,serine-type endopeptidase activity (GO:0004252);,No_GOCC,Alternative splicing;Cleavage on pair of basic residues;Disulfide bond;Glycoprotein;Hydrolase;Protease;Serine protease;Signal;Zymogen.;
contig71177,predicted protein [Nematostella vectensis] gi|156228231|gb|EDO49031.1| predicted protein [Nematostella vectensis],IQ calmodulin-binding motif-containing protein 1,calmodulin binding (GO:0005516);,photoreceptor connecting cilium (GO:0032391);photoreceptor outer segment (GO:0001750);,Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome;Repeat.;
contig189883,predicted protein [Nematostella vectensis] gi|156211308|gb|EDO32422.1| predicted protein [Nematostella vectensis],E3 ubiquitin-protein ligase DZIP3,polyubiquitin binding (GO:0031593);RNA binding (GO:0003723);ubiquitin-protein ligase activity (GO:0004842);zinc ion binding (GO:0008270);,cytoplasm (GO:0005737);,Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Ligase;Metal-binding;Reference proteome;RNA-binding;Ubl conjugation pathway;Zinc;Zinc-finger.;
contig148184_179747,PREDICTED: hypothetical protein [Strongylocentrotus purpuratus] gi|115930797|ref|XP_001183904.1| PREDICTED: hypothetical protein [Strongylocentrotus purpuratus],WD repeat-containing protein 63,No_GOMF,No_GOCC,Alternative splicing;Coiled coil;Complete proteome;Polymorphism;Reference proteome;Repeat;WD repeat.;
contig79217,predicted protein [Nematostella vectensis] gi|156210299|gb|EDO31484.1| predicted protein [Nematostella vectensis],Coiled-coil domain-containing protein 157,No_GOMF,No_GOCC,Alternative splicing;Coiled coil;Complete proteome;Reference proteome.;
contig16974_158273_78528,predicted protein [Nematostella vectensis] gi|156215512|gb|EDO36470.1| predicted protein [Nematostella vectensis],Collagen alpha-1(XXI) chain,structural molecule activity (GO:0005198);,collagen (GO:0005581);cytoplasm (GO:0005737);,Alternative splicing;Collagen;Complete proteome;Cytoplasm;Extracellular matrix;Glycoprotein;Polymorphism;Reference proteome;Repeat;Secreted;Signal.;
contig151328,hypothetical protein BRAFLDRAFT_219134 [Branchiostoma floridae] gi|229281950|gb|EEN52703.1| hypothetical protein BRAFLDRAFT_219134 [Branchiostoma floridae],RING finger protein 10,protein binding (GO:0005515);transcription regulatory region DNA binding (GO:0044212);zinc ion binding (GO:0008270);,cytoplasm (GO:0005737);nucleus (GO:0005634);,Alternative splicing;Complete proteome;Cytoplasm;DNA-binding;Metal-binding;Nucleus;Polymorphism;Reference proteome;Transcription;Transcription regulation;Zinc;Zinc-finger.;
contig154133,predicted protein [Nematostella vectensis] gi|156215523|gb|EDO36481.1| predicted protein [Nematostella vectensis],Deleted in malignant brain tumors 1 protein,Gram-negative bacterial cell surface binding (GO:0051636);Gram-positive bacterial cell surface binding (GO:0051637);scavenger receptor activity (GO:0005044);zymogen binding (GO:0035375);,extracellular matrix (GO:0031012);extrinsic to membrane (GO:0019898);integral to membrane (GO:0016021);transport vesicle membrane (GO:0030658);zymogen granule membrane (GO:0042589);,Alternative splicing;Complete proteome;Cytoplasmic vesicle;Developmental protein;Differentiation;Direct protein sequencing;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Protein transport;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix;Transport.;
contig150249_170308_160859_181849,predicted protein [Nematostella vectensis] gi|156214502|gb|EDO35488.1| predicted protein [Nematostella vectensis],Spermatogenesis-associated protein 20,mannose-6-phosphate isomerase activity (GO:0004476);,extracellular region (GO:0005576);,Alternative splicing;Complete proteome;Developmental protein;Differentiation;Polymorphism;Reference proteome;Secreted;Signal;Spermatogenesis.;
contig195591,PREDICTED: ubiquitin-protein ligase E3C-like [Meleagris gallopavo],Ubiquitin-protein ligase E3C,protein binding (GO:0005515);ubiquitin-protein ligase activity (GO:0004842);,nucleus (GO:0005634);proteasome complex (GO:0000502);,Alternative splicing;Complete proteome;Direct protein sequencing;Ligase;Nucleus;Proteasome;Reference proteome;Ubl conjugation pathway.;
contig150518,predicted protein [Nematostella vectensis] gi|156227451|gb|EDO48254.1| predicted protein [Nematostella vectensis],Zinc finger protein 555,DNA binding (GO:0003677);zinc ion binding (GO:0008270);,nucleus (GO:0005634);,Alternative splicing;Complete proteome;DNA-binding;Metal-binding;Nucleus;Polymorphism;Reference proteome;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger.;
contig156798,"ER degradation enhancer, mannosidase alpha-like 2 [Xenopus (Silurana) tropicalis] gi|49903456|gb|AAH76880.1| MGC88910 protein [Xenopus (Silurana) tropicalis]",ER degradation-enhancing alpha-mannosidase-like 2,"calcium ion binding (GO:0005509);mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571);",endoplasmic reticulum lumen (GO:0005788);endoplasmic reticulum membrane (GO:0005789);extracellular region (GO:0005576);,Alternative splicing;Complete proteome;Endoplasmic reticulum;Glycoprotein;Polymorphism;Reference proteome;Secreted;Signal;Unfolded protein response.;
contig151888_69512_151902_157022,predicted protein [Nematostella vectensis] gi|156226369|gb|EDO47179.1| predicted protein [Nematostella vectensis],Uncharacterized protein KIAA1958,No_GOMF,No_GOCC,Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome.;
contig105084_26358,predicted protein [Nematostella vectensis] gi|156220355|gb|EDO41224.1| predicted protein [Nematostella vectensis],Synaptotagmin-16,phospholipid binding (GO:0005543);protein heterodimerization activity (GO:0046982);protein homodimerization activity (GO:0042803);,No_GOCC,Alternative splicing;Complete proteome;Reference proteome;Repeat.;
contig104029,predicted protein [Nematostella vectensis] gi|156216227|gb|EDO37169.1| predicted protein [Nematostella vectensis],"2-oxoglutarate dehydrogenase-like, mitochondrial",oxoglutarate dehydrogenase (succinyl-transferring) activity (GO:0004591);thiamine pyrophosphate binding (GO:0030976);,mitochondrial matrix (GO:0005759);,Alternative splicing;Glycolysis;Mitochondrion;Oxidoreductase;Thiamine pyrophosphate;Transit peptide.;
contig74063,hypothetical protein DFA_05934 [Dictyostelium fasciculatum],Cystathionine gamma-synthase,cystathionine gamma-synthase activity (GO:0003962);pyridoxal phosphate binding (GO:0030170);,cytoplasm (GO:0005737);,Amino-acid biosynthesis;Complete proteome;Cytoplasm;Methionine biosynthesis;Pyridoxal phosphate;Transferase.;
contig175984,hypothetical protein MA3492 [Methanosarcina acetivorans C2A] gi|19917545|gb|AAM06857.1| predicted protein [Methanosarcina acetivorans C2A],5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,adenosylhomocysteine nucleosidase activity (GO:0008782);methylthioadenosine nucleosidase activity (GO:0008930);,No_GOCC,Amino-acid biosynthesis;Complete proteome;Hydrolase;Methionine biosynthesis;Reference proteome.;
contig74855,hypothetical protein MA3492 [Methanosarcina acetivorans C2A] gi|19917545|gb|AAM06857.1| predicted protein [Methanosarcina acetivorans C2A],5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,adenosylhomocysteine nucleosidase activity (GO:0008782);methylthioadenosine nucleosidase activity (GO:0008930);,No_GOCC,Amino-acid biosynthesis;Complete proteome;Hydrolase;Methionine biosynthesis.;
contig154158,hypothetical protein MA3492 [Methanosarcina acetivorans C2A] gi|19917545|gb|AAM06857.1| predicted protein [Methanosarcina acetivorans C2A],5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,adenosylhomocysteine nucleosidase activity (GO:0008782);methylthioadenosine nucleosidase activity (GO:0008930);,No_GOCC,Amino-acid biosynthesis;Complete proteome;Hydrolase;Methionine biosynthesis.;
contig187340,nucleoside phosphorylase-like protein [Shewanella sediminis HAW-EB3] gi|157319164|gb|ABV38262.1| Nucleoside phosphorylase-like protein [Shewanella sediminis HAW-EB3],Nucleoside phosphorylase-like protein,catalytic activity (GO:0003824);,No_GOCC,Amino-acid biosynthesis;Complete proteome;Hydrolase;Methionine biosynthesis.;
contig187631,hypothetical protein MA3492 [Methanosarcina acetivorans C2A] gi|19917545|gb|AAM06857.1| predicted protein [Methanosarcina acetivorans C2A],5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,adenosylhomocysteine nucleosidase activity (GO:0008782);methylthioadenosine nucleosidase activity (GO:0008930);,No_GOCC,Amino-acid biosynthesis;Complete proteome;Hydrolase;Methionine biosynthesis.;
contig19217,"PREDICTED: solute carrier family 7 (cationic amino acid transporter, y+ system), member 6-like [Oryctolagus cuniculus]","B(0,+)-type amino acid transporter 1",neutral amino acid transmembrane transporter activity (GO:0015175);peptide antigen binding (GO:0042605);,integral to membrane (GO:0016021);,Amino-acid transport;Complete proteome;Disulfide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport.;
contig155267,predicted protein [Nematostella vectensis] gi|156216226|gb|EDO37168.1| predicted protein [Nematostella vectensis],Methionine aminopeptidase 1,aminopeptidase activity (GO:0004177);metal ion binding (GO:0046872);metalloexopeptidase activity (GO:0008235);,No_GOCC,Aminopeptidase;Cobalt;Complete proteome;Hydrolase;Metal-binding;Protease;Reference proteome.;
contig193209,"ankyrin repeat protein [Trichomonas vaginalis G3] gi|121898874|gb|EAY03952.1| ankyrin repeat protein, putative [Trichomonas vaginalis G3]",Ankyrin repeat and protein kinase domain-containing protein 1,ATP binding (GO:0005524);protein serine/threonine kinase activity (GO:0004674);,No_GOCC,ANK repeat;ATP-binding;Complete proteome;Kinase;Nucleotide-binding;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase.;
contig140807,hypothetical protein PTSG_13057 [Salpingoeca sp. ATCC 50818],Tumor necrosis factor receptor superfamily member 16,No_GOMF,integral to membrane (GO:0016021);,Apoptosis;Complete proteome;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Membrane;Neurogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig74096,predicted protein [Nematostella vectensis] gi|156217595|gb|EDO38508.1| predicted protein [Nematostella vectensis],DNA ligase 1,ATP binding (GO:0005524);DNA binding (GO:0003677);DNA ligase (ATP) activity (GO:0003910);metal ion binding (GO:0046872);,nucleus (GO:0005634);,ATP-binding;Cell cycle;Cell division;DNA damage;DNA recombination;DNA repair;DNA replication;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Nucleus.;
contig44542_55363_151859,tyrosine-protein kinase Fer [Bos taurus] gi|297477584|ref|XP_002689475.1| PREDICTED: fer (fps/fes related) tyrosine kinase-like [Bos taurus] gi|296484997|gb|DAA27112.1| fer (fps/fes related) tyrosine kinase-like [Bos taurus],Tyrosine-protein kinase Fer,actin binding (GO:0003779);ATP binding (GO:0005524);cadherin binding (GO:0045296);epidermal growth factor receptor binding (GO:0005154);gamma-catenin binding (GO:0045295);lipid binding (GO:0008289);non-membrane spanning protein tyrosine kinase activity (GO:0004715);protein kinase binding (GO:0019901);Rab GTPase binding (GO:0017137);,cell cortex (GO:0005938);cell junction (GO:0030054);cell projection (GO:0042995);cytoskeleton (GO:0005856);extrinsic to internal side of plasma membrane (GO:0031234);nucleus (GO:0005634);,ATP-binding;Cell junction;Cell membrane;Cell projection;Coiled coil;Complete proteome;Cytoplasm;Cytoskeleton;Kinase;Lipid-binding;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;SH2 domain;Transferase;Tyrosine-protein kinase.;
contig78411,predicted protein [Nematostella vectensis] gi|156215249|gb|EDO36214.1| predicted protein [Nematostella vectensis],Katanin p60 ATPase-containing subunit A-like 2,ATP binding (GO:0005524);microtubule-severing ATPase activity (GO:0008568);,cytoplasm (GO:0005737);microtubule (GO:0005874);,ATP-binding;Cytoplasm;Cytoskeleton;Hydrolase;Microtubule;Nucleotide-binding.;
contig145185,PREDICTED: similar to Collagen alpha-1(XII) chain [Hydra magnipapillata],Thrombospondin-2,calcium ion binding (GO:0005509);heparin binding (GO:0008201);protein binding (GO:0005515);structural molecule activity (GO:0005198);,basement membrane (GO:0005604);,Calcium;Cell adhesion;Complete proteome;Disulfide bond;EGF-like domain;Glycoprotein;Heparin-binding;Reference proteome;Repeat;Signal.;
contig105949,predicted protein [Nematostella vectensis] gi|156226831|gb|EDO47638.1| predicted protein [Nematostella vectensis],C-type mannose receptor 2,receptor activity (GO:0004872);sugar binding (GO:0005529);,integral to membrane (GO:0016021);,Calcium;Complete proteome;Direct protein sequencing;Disulfide bond;Endocytosis;Glycoprotein;Isopeptide bond;Lectin;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation.;
contig118498_149201,predicted protein [Nematostella vectensis] gi|156225062|gb|EDO45883.1| predicted protein [Nematostella vectensis],Sarcoplasmic reticulum histidine-rich calcium-binding protein,No_GOMF,sarcoplasmic reticulum lumen (GO:0033018);,Calcium;Complete proteome;Direct protein sequencing;Pyrrolidone carboxylic acid;Repeat;Sarcoplasmic reticulum;Signal.;
contig169442_211611,predicted protein [Nematostella vectensis] gi|156219309|gb|EDO40193.1| predicted protein [Nematostella vectensis],Calpain-9,calcium ion binding (GO:0005509);calcium-dependent cysteine-type endopeptidase activity (GO:0004198);,intracellular (GO:0005622);,Calcium;Complete proteome;Hydrolase;Protease;Reference proteome;Repeat;Thiol protease.;
contig174349,predicted protein [Nematostella vectensis] gi|156225147|gb|EDO45967.1| predicted protein [Nematostella vectensis],Calretinin,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome;Repeat.;
contig205153,predicted protein [Nematostella vectensis] gi|156226121|gb|EDO46933.1| predicted protein [Nematostella vectensis],Fucolectin-1,calcium ion binding (GO:0005509);fucose binding (GO:0042806);,extracellular space (GO:0005615);,Calcium;Disulfide bond;Lectin;Metal-binding;Secreted;Signal.;
contig103867,predicted protein [Nematostella vectensis] gi|156215523|gb|EDO36481.1| predicted protein [Nematostella vectensis],CUB and zona pellucida-like domain-containing protein 1,No_GOMF,integral to membrane (GO:0016021);transport vesicle membrane (GO:0030658);,Cell adhesion;Cell cycle;Cell division;Complete proteome;Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig152331,PREDICTED: cohesin subunit SA-1-like [Macaca mulatta],Cohesin subunit SA-2,protein binding (GO:0005515);,"chromosome, centromeric region (GO:0000775);nucleus (GO:0005634);",Cell cycle;Cell division;Centromere;Chromosome;Chromosome partition;Mitosis;Nucleus;Phosphoprotein.;
contig73331,predicted protein [Nematostella vectensis] gi|156213819|gb|EDO34826.1| predicted protein [Nematostella vectensis],Centrosomal protein POC5,No_GOMF,centriole (GO:0005814);,Cell cycle;Coiled coil;Cytoplasm;Cytoskeleton;Repeat.;
contig74291_177546_107380_189420,PREDICTED: SH3 and PX domain-containing protein 2A-like [Anolis carolinensis],SH3 and PX domain-containing protein 2B,"phosphatidylinositol-3,5-bisphosphate binding (GO:0080025);phosphatidylinositol-3-phosphate binding (GO:0032266);phosphatidylinositol-5-phosphate binding (GO:0010314);SH2 domain binding (GO:0042169);",cell junction (GO:0030054);cell projection (GO:0042995);cytoplasm (GO:0005737);podosome (GO:0002102);,Cell junction;Cell projection;Complete proteome;Cytoplasm;Differentiation;Disease mutation;Phosphoprotein;Polymorphism;Reference proteome;Repeat;SH3 domain.;
contig106584,predicted protein [Nematostella vectensis] gi|156229071|gb|EDO49867.1| predicted protein [Nematostella vectensis],Folate receptor beta,folic acid binding (GO:0005542);receptor activity (GO:0004872);,anchored to membrane (GO:0031225);extracellular region (GO:0005576);membrane fraction (GO:0005624);plasma membrane (GO:0005886);,Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Folate-binding;Glycoprotein;GPI-anchor;Lipoprotein;Membrane;Polymorphism;Receptor;Reference proteome;Secreted;Signal.;
contig52289,predicted protein [Nematostella vectensis] gi|156227523|gb|EDO48326.1| predicted protein [Nematostella vectensis],Uncharacterized transporter Mb0941,transporter activity (GO:0005215);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);,Cell membrane;Complete proteome;Membrane;Transmembrane;Transmembrane helix;Transport.;
contig219993_140410_20908_139044_185469_155885_76490_215268_82936_147041_55858,PREDICTED: similar to predicted protein [Hydra magnipapillata],Extensin-3,structural constituent of cell wall (GO:0005199);,primary cell wall (GO:0009530);,Cell wall;Cell wall biogenesis/degradation;Complete proteome;Glycoprotein;Hydroxylation;Reference proteome;Repeat;Secreted;Signal.;
contig160643,"rCG39957, isoform CRA_b [Rattus norvegicus]",Dickkopf-related protein 3,No_GOMF,extracellular region (GO:0005576);,Coiled coil;Complete proteome;Developmental protein;Disulfide bond;Glycoprotein;Phosphoprotein;Reference proteome;Secreted;Signal;Wnt signaling pathway.;
contig173984,predicted protein [Nematostella vectensis] gi|156229093|gb|EDO49889.1| predicted protein [Nematostella vectensis],Dickkopf-related protein 3,No_GOMF,extracellular region (GO:0005576);,Coiled coil;Complete proteome;Developmental protein;Disulfide bond;Glycoprotein;Phosphoprotein;Reference proteome;Secreted;Signal;Wnt signaling pathway.;
contig212353,nacrein A1 [Pinctada margaritifera],Uncharacterized protein DDB_G0290685,No_GOMF,No_GOCC,Coiled coil;Complete proteome;Reference proteome;Repeat.;
contig14609,predicted protein [Nematostella vectensis] gi|156209157|gb|EDO30486.1| predicted protein [Nematostella vectensis],Protein LZIC,beta-catenin binding (GO:0008013);,No_GOCC,Coiled coil;Complete proteome;Reference proteome.;
contig70107,mini-collagen [Acropora donei],Mini-collagen,No_GOMF,collagen (GO:0005581);,Collagen.;
contig150193,predicted protein [Nematostella vectensis] gi|156216348|gb|EDO37287.1| predicted protein [Nematostella vectensis],Mini-collagen,No_GOMF,collagen (GO:0005581);,Collagen.;
contig169883,predicted protein [Nematostella vectensis] gi|156228837|gb|EDO49634.1| predicted protein [Nematostella vectensis],DBH-like monooxygenase protein 1,copper ion binding (GO:0005507);dopamine beta-monooxygenase activity (GO:0004500);,endoplasmic reticulum membrane (GO:0005789);integral to membrane (GO:0016021);,Complete proteome;Copper;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Signal;Transmembrane;Transmembrane helix.;
contig210056,predicted protein [Nematostella vectensis] gi|156228837|gb|EDO49634.1| predicted protein [Nematostella vectensis],Putative DBH-like monooxygenase protein 2,copper ion binding (GO:0005507);dopamine beta-monooxygenase activity (GO:0004500);,No_GOCC,Complete proteome;Copper;Disulfide bond;Glycoprotein;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Signal.;
contig69821,predicted protein [Nematostella vectensis] gi|182641539|sp|A7SGU3.1|DCTN6_NEMVE RecName: Full=Dynactin subunit 6 gi|156216096|gb|EDO37040.1| predicted protein [Nematostella vectensis],Dynactin subunit 6,transferase activity (GO:0016740);,cytoplasm (GO:0005737);cytoskeleton (GO:0005856);,Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome.;
contig77361,hypothetical protein BRAFLDRAFT_125025 [Branchiostoma floridae] gi|229294971|gb|EEN65619.1| hypothetical protein BRAFLDRAFT_125025 [Branchiostoma floridae],Dual specificity protein phosphatase 23,protein tyrosine phosphatase activity (GO:0004725);protein tyrosine/serine/threonine phosphatase activity (GO:0008138);,cytosol (GO:0005829);nucleus (GO:0005634);,Complete proteome;Cytoplasm;Hydrolase;Nucleus;Protein phosphatase;Reference proteome.;
contig146820,transcription factor Cnox4-Pc [Podocoryna carnea],Protein zerknuellt 2,sequence-specific DNA binding (GO:0043565);sequence-specific DNA binding transcription factor activity (GO:0003700);,nucleus (GO:0005634);,Complete proteome;Developmental protein;DNA-binding;Homeobox;Nucleus;Reference proteome;Transcription;Transcription regulation.;
contig168077,predicted protein [Nematostella vectensis] gi|156222419|gb|EDO43263.1| predicted protein [Nematostella vectensis],Transcription factor HES-1,bHLH transcription factor binding (GO:0043425);DNA binding (GO:0003677);protein heterodimerization activity (GO:0046982);,nucleus (GO:0005634);,Complete proteome;Developmental protein;DNA-binding;Notch signaling pathway;Nucleus;Reference proteome;Repressor;Transcription;Transcription regulation.;
contig14005,GL13486 [Drosophila persimilis] gi|194117256|gb|EDW39299.1| GL13486 [Drosophila persimilis],"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity (GO:0008455);sugar binding (GO:0005529);",Golgi membrane (GO:0000139);Golgi stack (GO:0005795);integral to membrane (GO:0016021);,Complete proteome;Direct protein sequencing;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix.;
contig152704,"PREDICTED: hypothetical protein, partial [Rattus norvegicus]",Basic salivary proline-rich protein 1,No_GOMF,extracellular region (GO:0005576);,Complete proteome;Direct protein sequencing;Glycoprotein;Phosphoprotein;Polymorphism;Pyrrolidone carboxylic acid;Reference proteome;Repeat;Secreted;Signal.;
contig188795,hypothetical protein A030-E11 [Acropora millepora],Carbonic anhydrase,carbonate dehydratase activity (GO:0004089);zinc ion binding (GO:0008270);,No_GOCC,Complete proteome;Direct protein sequencing;Lyase;Metal-binding;Reference proteome;Zinc.;
contig75810_203869,predicted protein [Nematostella vectensis] gi|156212342|gb|EDO33405.1| predicted protein [Nematostella vectensis],Protein ERGIC-53,metal ion binding (GO:0046872);sugar binding (GO:0005529);,endoplasmic reticulum membrane (GO:0005789);endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116);Golgi membrane (GO:0000139);integral to membrane (GO:0016021);sarcomere (GO:0030017);,Complete proteome;Disulfide bond;Endoplasmic reticulum;ER-Golgi transport;Golgi apparatus;Lectin;Membrane;Metal-binding;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport.;
contig105950,transmembrane protein 189 [Xenopus laevis] gi|120537944|gb|AAI29523.1| Unknown (protein for MGC:160173) [Xenopus laevis],Transmembrane protein 189,No_GOMF,endoplasmic reticulum membrane (GO:0005789);integral to membrane (GO:0016021);,Complete proteome;Endoplasmic reticulum;Membrane;Polymorphism;Reference proteome;Transmembrane;Transmembrane helix.;
contig146913,predicted protein [Nematostella vectensis] gi|156214197|gb|EDO35192.1| predicted protein [Nematostella vectensis],Organic cation transporter protein,transmembrane transporter activity (GO:0022857);,integral to membrane (GO:0016021);,Complete proteome;Glycoprotein;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport.;
contig205488,predicted protein [Nematostella vectensis] gi|156223953|gb|EDO44783.1| predicted protein [Nematostella vectensis],Mannose-1-phosphate guanyltransferase alpha-B,GTP binding (GO:0005525);mannose-1-phosphate guanylyltransferase activity (GO:0004475);,No_GOCC,Complete proteome;GTP-binding;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase.;
contig151973,nematocyst outer wall antigen precursor [Clytia hemisphaerica],Keratin-associated protein 10-8,No_GOMF,keratin filament (GO:0045095);,Complete proteome;Keratin;Polymorphism;Reference proteome;Repeat.;
contig118806_115111,hypothetical protein NEMVEDRAFT_v1g223181 [Nematostella vectensis] gi|156205206|gb|EDO28275.1| predicted protein [Nematostella vectensis],Keratin-associated protein 9-4,No_GOMF,keratin filament (GO:0045095);,Complete proteome;Keratin;Polymorphism;Reference proteome;Repeat.;
contig205227,No_sig_nr_hit,Keratin-associated protein 5-4,No_GOMF,keratin filament (GO:0045095);,Complete proteome;Keratin;Reference proteome;Repeat.;
contig73390_71729,putative serine or threonine protein kinase [Streptomyces venezuelae ATCC 10712],Putative serine or threonine protein kinase,ATP binding (GO:0005524);protein serine/threonine kinase activity (GO:0004674);,No_GOCC,Complete proteome;Kinase;Transferase.;
contig203839,PREDICTED: hypothetical protein [Vitis vinifera],Uncharacterized protein RSN1,No_GOMF,integral to membrane (GO:0016021);,Complete proteome;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix.;
contig149910,predicted protein [Nematostella vectensis] gi|156222020|gb|EDO42869.1| predicted protein [Nematostella vectensis],Membrane-spanning 4-domains subfamily A member 8B,receptor activity (GO:0004872);,integral to membrane (GO:0016021);,Complete proteome;Membrane;Polymorphism;Receptor;Reference proteome;Transmembrane;Transmembrane helix.;
contig151002,predicted protein [Nematostella vectensis] gi|156226842|gb|EDO47649.1| predicted protein [Nematostella vectensis],Transmembrane protein 93,No_GOMF,integral to membrane (GO:0016021);,Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix.;
contig210808,predicted protein [Nematostella vectensis] gi|156218735|gb|EDO39628.1| predicted protein [Nematostella vectensis],Mothers against decapentaplegic homolog 6,chromatin binding (GO:0003682);sequence-specific DNA binding transcription factor activity (GO:0003700);transcription regulatory region DNA binding (GO:0044212);,transcription factor complex (GO:0005667);,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation.;
contig82216,predicted protein [Nematostella vectensis] gi|156222937|gb|EDO43776.1| predicted protein [Nematostella vectensis],Thymocyte nuclear protein 1,No_GOMF,nucleus (GO:0005634);,Complete proteome;Nucleus;Phosphoprotein;Reference proteome.;
