#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
306,0.004791403,368,GO:0022610,biological adhesion,0.017798911,BP
810,0.004877208,50,GO:0090317,negative regulation of intracellular protein transport,0.018087661,BP
872,0.004960099,43,GO:0002685,regulation of leukocyte migration,0.018341862,BP
-771,0.004969171,55,GO:0033273,response to vitamin,0.018341862,BP
442,0.004970317,170,GO:0042326,negative regulation of phosphorylation,0.018341862,BP
852,0.00499785,45,GO:0032755,positive regulation of interleukin-6 production,0.01841313,BP
614,0.005027021,87,GO:0046883,regulation of hormone secretion,0.018490192,BP
305,0.005036638,367,GO:0007155,cell adhesion,0.018495196,BP
525,0.005141082,119,GO:0022409,positive regulation of cell-cell adhesion,0.018847829,BP
-658,0.005167885,75,GO:0016999,antibiotic metabolic process,0.018886921,BP
263,0.005168608,499,GO:0010243,response to organonitrogen compound,0.018886921,BP
961,0.005187891,35,GO:0090175,regulation of establishment of planar polarity,0.018926509,BP
-828,0.005295903,47,GO:0035222,wing disc pattern formation,0.019289141,BP
1000,0.005401082,32,GO:0048265,response to pain,0.019640298,BP
-792,0.005494479,51,GO:0003407,neural retina development,0.019947542,BP
-927,0.005563129,37,GO:0044273,sulfur compound catabolic process,0.020164092,BP
850,0.005576442,44,GO:0040003,chitin-based cuticle development,0.020179694,BP
-488,0.005649306,135,GO:0060041,retina development in camera-type eye,0.020409009,BP
1010,0.005665414,31,GO:0007029,endoplasmic reticulum organization,0.020409009,BP
694,0.005667145,66,GO:0048660,regulation of smooth muscle cell proliferation,0.020409009,BP
509,0.005761493,123,GO:0032103,positive regulation of response to external stimulus,0.020715482,BP
992,0.005786576,32,GO:0042108,positive regulation of cytokine biosynthetic process,0.020772323,BP
948,0.005831326,35,GO:1900076,regulation of cellular response to insulin stimulus,0.020899472,BP
-960,0.005925628,34,GO:0045840,positive regulation of mitotic nuclear division,0.021203525,BP
418,0.006108134,182,GO:0071345,cellular response to cytokine stimulus,0.021821722,BP
-968,0.006221179,33,GO:0007076,mitotic chromosome condensation,0.022190192,BP
553,0.006287042,102,GO:0002699,positive regulation of immune effector process,0.022359743,BP
-829,0.006288678,45,GO:1901992;GO:1901989,positive regulation of mitotic cell cycle phase transition,0.022359743,BP
530,0.006318173,111,GO:1903532,positive regulation of secretion by cell,0.022429014,BP
-936,0.006471825,35,GO:0046470,phosphatidylcholine metabolic process,0.022938115,BP
609,0.006548801,83,GO:0045765,regulation of angiogenesis,0.023174274,BP
432,0.006598106,167,GO:0022411,cellular component disassembly,0.023311922,BP
-797,0.00665742,48,GO:2001252,positive regulation of chromosome organization,0.023484442,BP
580,0.006695032,91,GO:0008306,associative learning,0.023579986,BP
-794,0.006861029,48,GO:0060840,artery development,0.024126695,BP
-569,0.006883814,94,GO:0045333,cellular respiration,0.024168877,BP
-769,0.007005973,51,GO:0033875;GO:0034032;GO:0033865,purine nucleoside bisphosphate metabolic process,0.024544035,BP
984,0.007019791,31,GO:0019935,cyclic-nucleotide-mediated signaling,0.024544035,BP
827,0.007023539,44,GO:0046823,negative regulation of nucleocytoplasmic transport,0.024544035,BP
816,0.007114915,45,GO:0034612,response to tumor necrosis factor,0.024824627,BP
223,0.007177607,659,GO:0007389,pattern specification process,0.025004418,BP
619,0.007399501,78,GO:0007162,negative regulation of cell adhesion,0.025737396,BP
918,0.007562857,35,GO:0043388,positive regulation of DNA binding,0.026264806,BP
556,0.007656573,96,GO:0032102,negative regulation of response to external stimulus,0.026549107,BP
847,0.007696583,41,GO:1903531,negative regulation of secretion by cell,0.026646594,BP
783,0.007714534,48,GO:0030048,actin filament-based movement,0.026650653,BP
903,0.007721551,36,GO:0010883,regulation of lipid storage,0.026650653,BP
600,0.007739047,82,GO:0051340,regulation of ligase activity,0.026669946,BP
636,0.008085775,72,GO:0017148;GO:0034249,negative regulation of translation,0.027822023,BP
983,0.008102499,30,GO:0034109,homotypic cell-cell adhesion,0.027836806,BP
685,0.008136015,62,GO:0045732,positive regulation of protein catabolic process,0.027909146,BP
752,0.008382029,51,GO:0046425;GO:1904892,regulation of receptor signaling pathway via JAK-STAT,0.028709089,BP
561,0.008421415,92,GO:0001704,formation of primary germ layer,0.028799952,BP
433,0.008529347,155,GO:0006457,protein folding,0.029118143,BP
-789,0.008540455,46,GO:0034728,nucleosome organization,0.029118143,BP
502,0.008704506,114,GO:0046777,protein autophosphorylation,0.029600036,BP
779,0.008708225,47,GO:0048168,regulation of neuronal synaptic plasticity,0.029600036,BP
689,0.00875037,60,GO:0035162,embryonic hemopoiesis,0.029698226,BP
279,0.008774414,384,GO:0046903,secretion,0.029706812,BP
-843,0.008792079,40,GO:0006775,fat-soluble vitamin metabolic process,0.029706812,BP
-469,0.008792686,131,GO:0042445,hormone metabolic process,0.029706812,BP
208,0.008880802,725,GO:0051094,positive regulation of developmental process,0.029959332,BP
484,0.009029714,122,GO:0007269;GO:0099643,signal release from synapse,0.030415879,BP
509,0.009077717,110,GO:0007015,actin filament organization,0.030531661,BP
215,0.009196512,668,GO:0000904,cell morphogenesis involved in differentiation,0.030884837,BP
-727,0.009317933,53,GO:0015749,monosaccharide transmembrane transport,0.031213782,BP
-826,0.00932233,41,GO:0007480;GO:0035127,imaginal disc-derived leg morphogenesis,0.031213782,BP
906,0.009366551,34,GO:0010811,positive regulation of cell-substrate adhesion,0.031315036,BP
481,0.009433445,122,GO:0051091,positive regulation of DNA-binding transcription factor activity,0.031491679,BP
-904,0.00956258,34,GO:0006942,regulation of striated muscle contraction,0.031834042,BP
494,0.009572394,115,GO:0030100,regulation of endocytosis,0.031834042,BP
855,0.009578636,38,GO:0032735,positive regulation of interleukin-12 production,0.031834042,BP
573,0.009606513,85,GO:0007606,sensory perception of chemical stimulus,0.031852979,BP
843,0.009612774,39,GO:0098722,asymmetric stem cell division,0.031852979,BP
-823,0.009628809,41,GO:0048048,embryonic eye morphogenesis,0.031858983,BP
581,0.009887683,82,GO:0001738,morphogenesis of a polarized epithelium,0.032667271,BP
533,0.010141369,97,GO:0042542,response to hydrogen peroxide,0.033456064,BP
-664,0.010248796,62,GO:1901606,alpha-amino acid catabolic process,0.033750141,BP
-762,0.010268314,47,GO:0000279,M phase,0.033750141,BP
-558,0.010275713,88,GO:0006576,cellular biogenic amine metabolic process,0.033750141,BP
-936,0.0103358,31,GO:0044728,DNA methylation or demethylation,0.033857564,BP
-952,0.010342869,30,GO:0008156,negative regulation of DNA replication,0.033857564,BP
213,0.010365546,657,GO:0016477,cell migration,0.033857564,BP
738,0.010368879,50,GO:0008637,apoptotic mitochondrial changes,0.033857564,BP
880,0.010438249,35,GO:0006626,protein targeting to mitochondrion,0.034034466,BP
557,0.010460508,88,GO:0007173;GO:0038127,ERBB signaling pathway,0.034057468,BP
-573,0.010496708,83,GO:0042133,neurotransmitter metabolic process,0.034078505,BP
-776,0.010497397,45,GO:0034605,cellular response to heat,0.034078505,BP
407,0.010668306,166,GO:0002252,immune effector process,0.034583222,BP
-578,0.01083906,81,GO:0050905,neuromuscular process,0.035085975,BP
-505,0.011014644,106,GO:0043414,macromolecule methylation,0.035602891,BP
443,0.011054852,138,GO:0044089,positive regulation of cellular component biogenesis,0.035681366,BP
-943,0.011083145,30,GO:0002526,acute inflammatory response,0.035721215,BP
-824,0.011426738,39,GO:0006282,regulation of DNA repair,0.036775707,BP
486,0.011449227,113,GO:0050863,regulation of T cell activation,0.036795221,BP
743,0.011480592,48,GO:0010675;GO:0006109,regulation of cellular carbohydrate metabolic process,0.036843159,BP
407,0.011683261,162,GO:0046649,lymphocyte activation,0.037439922,BP
406,0.011726278,162,GO:0050808,synapse organization,0.037524088,BP
366,0.011789721,201,GO:0048469,cell maturation,0.037673288,BP
818,0.012025331,39,GO:0042067,establishment of ommatidial planar polarity,0.038371426,BP
567,0.012383874,81,GO:0001764,neuron migration,0.039459284,BP
-719,0.012484837,50,GO:0009064,glutamine family amino acid metabolic process,0.039724482,BP
608,0.012578314,70,GO:2000377,regulation of reactive oxygen species metabolic process,0.03996514,BP
266,0.01261915,383,GO:0051640,organelle localization,0.040038095,BP
522,0.012772043,95,GO:0009615,response to virus,0.04046588,BP
570,0.012982544,79,GO:0048167,regulation of synaptic plasticity,0.041074717,BP
439,0.013078631,134,GO:0008360,regulation of cell shape,0.041237381,BP
531,0.013080693,91,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,0.041237381,BP
231,0.013089187,512,GO:0051093,negative regulation of developmental process,0.041237381,BP
565,0.013176343,80,GO:0030278,regulation of ossification,0.041435153,BP
315,0.01319545,264,GO:0030162,regulation of proteolysis,0.041435153,BP
-473,0.013207455,115,GO:0035108,limb morphogenesis,0.041435153,BP
433,0.013442439,137,GO:0007431,salivary gland development,0.042113376,BP
-454,0.013526462,124,GO:0060173,limb development,0.042317424,BP
463,0.013611135,119,GO:0044773,mitotic DNA damage checkpoint,0.042522931,BP
-623,0.01374357,65,GO:0008643,carbohydrate transport,0.042876877,BP
320,0.013775141,253,GO:0032870,cellular response to hormone stimulus,0.042915599,BP
526,0.014030107,91,GO:1901342,regulation of vasculature development,0.043604882,BP
912,0.014035321,30,GO:2000379,positive regulation of reactive oxygen species metabolic process,0.043604882,BP
621,0.014055228,65,GO:0002833,positive regulation of response to biotic stimulus,0.043606249,BP
476,0.014221975,111,GO:0007030,Golgi organization,0.044059924,BP
202,0.014240797,670,GO:0034655,nucleobase-containing compound catabolic process,0.044059924,BP
304,0.014279135,279,GO:0055082,cellular chemical homeostasis,0.044117604,BP
797,0.014390845,39,GO:2000060;GO:1903052;GO:1903364,positive regulation of proteolysis involved in cellular protein catabolic process,0.044401505,BP
-543,0.01468294,84,GO:0006997,nucleus organization,0.04524042,BP
-774,0.014806927,41,GO:0035214,eye-antennal disc development,0.045559775,BP
-552,0.014873386,81,GO:0044242,cellular lipid catabolic process,0.045701488,BP
423,0.015022983,139,GO:0003001;GO:0023061,signal release,0.04609792,BP
245,0.015094137,432,GO:0048878,chemical homeostasis,0.046252895,BP
-526,0.015143142,89,GO:0044106,cellular amine metabolic process,0.046339671,BP
572,0.015190978,75,GO:0001707,mesoderm formation,0.046422633,BP
-326,0.015249009,236,GO:0044770,cell cycle phase transition,0.046536487,BP
194,0.015397251,711,GO:0007267,cell-cell signaling,0.046924955,BP
742,0.015519921,44,GO:0120032;GO:0060491,regulation of plasma membrane bounded cell projection assembly,0.047020608,BP
831,0.015562127,35,GO:0032436;GO:1901800,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,0.047020608,BP
-798,0.015563797,38,GO:0042359,vitamin D metabolic process,0.047020608,BP
-532,0.01556434,86,GO:0034754,cellular hormone metabolic process,0.047020608,BP
-581,0.015567875,72,GO:0021536,diencephalon development,0.047020608,BP
-555,0.015575909,79,GO:0009411,response to UV,0.047020608,BP
856,0.015586205,33,GO:0051896,regulation of protein kinase B signaling,0.047020608,BP
526,0.015596568,88,GO:0007309,oocyte axis specification,0.047020608,BP
-818,0.01576467,36,GO:0009066,aspartate family amino acid metabolic process,0.047463524,BP
405,0.015860379,149,GO:0030111,regulation of Wnt signaling pathway,0.047687584,BP
319,0.015893491,244,GO:0021700,developmental maturation,0.047723084,BP
-756,0.015992697,42,GO:0001676,long-chain fatty acid metabolic process,0.047956682,BP
294,0.016156135,288,GO:2000145,regulation of cell motility,0.048382009,BP
-444,0.016225497,123,GO:0034470,ncRNA processing,0.048524851,BP
-863,0.016289193,32,GO:0030901,midbrain development,0.048650391,BP
850,0.016319576,33,GO:0016333,morphogenesis of follicular epithelium,0.048676231,BP
585,0.016362109,70,GO:0007413;GO:0106030,neuron projection fasciculation,0.048738197,BP
849,0.016408044,33,GO:1903725,regulation of phospholipid metabolic process,0.048810118,BP
-813,0.016473405,36,GO:0002377,immunoglobulin production,0.048939558,BP
348,0.016548781,201,GO:0051493,regulation of cytoskeleton organization,0.04909837,BP
615,0.016593801,63,GO:0043393,regulation of protein binding,0.049166818,BP
583,0.016663722,70,GO:1903708,positive regulation of hemopoiesis,0.049261738,BP
624,0.016700472,61,GO:0001736;GO:0007164,establishment of tissue polarity,0.049261738,BP
443,0.016719663,122,GO:0044774,mitotic DNA integrity checkpoint,0.049261738,BP
734,0.016730531,44,GO:0002011,morphogenesis of an epithelial sheet,0.049261738,BP
336,0.016735796,215,GO:0032386,regulation of intracellular transport,0.049261738,BP
844,0.017075107,33,GO:0030279,negative regulation of ossification,0.05019454,BP
438,0.017147882,124,GO:0051047,positive regulation of secretion,0.050342405,BP
666,0.017284471,53,GO:1903828,negative regulation of cellular protein localization,0.050676983,BP
-738,0.017363162,43,GO:0044550,secondary metabolite biosynthetic process,0.050841155,BP
794,0.017521137,37,GO:0007608,sensory perception of smell,0.051233904,BP
-526,0.017543038,85,GO:0006022,aminoglycan metabolic process,0.051233904,BP
-745,0.017695745,42,GO:0001523,retinoid metabolic process,0.051612589,BP
586,0.017721157,68,GO:0110053,regulation of actin filament organization,0.051619494,BP
-735,0.017910506,43,GO:0006637;GO:0035383,acyl-CoA metabolic process,0.052103291,BP
553,0.018013265,76,GO:0002702,positive regulation of production of molecular mediator of immune response,0.052334258,BP
355,0.018114944,187,GO:0010631;GO:0090132,epithelium migration,0.052561495,BP
275,0.018158886,317,GO:0051270,regulation of cellular component movement,0.052620835,BP
508,0.018199981,90,GO:0007308,oocyte construction,0.052671778,BP
269,0.01835632,332,GO:0051656,establishment of organelle localization,0.053055686,BP
-318,0.018612707,233,GO:0044772,mitotic cell cycle phase transition,0.053727403,BP
820,0.018673054,34,GO:0007006,mitochondrial membrane organization,0.053832228,BP
-754,0.019126053,40,GO:0009451,RNA modification,0.055067299,BP
313,0.019155692,238,GO:0051606,detection of stimulus,0.055081836,BP
-436,0.019201874,121,GO:0034504,protein localization to nucleus,0.055143844,BP
-320,0.019252868,227,GO:0006644,phospholipid metabolic process,0.055219494,BP
-441,0.019664068,117,GO:0051188,cofactor biosynthetic process,0.056326742,BP
593,0.019986269,64,GO:0042752,regulation of circadian rhythm,0.057101058,BP
188,0.020002289,701,GO:0048870,cell motility,0.057101058,BP
811,0.020010862,34,GO:0051489,regulation of filopodium assembly,0.057101058,BP
-241,0.020642569,401,GO:0005975,carbohydrate metabolic process,0.058828695,BP
-795,0.020689853,35,GO:0009124,nucleoside monophosphate biosynthetic process,0.058888528,BP
-308,0.020870527,240,GO:0051259,protein complex oligomerization,0.059327386,BP
-208,0.020925771,552,GO:0055114,oxidation-reduction process,0.059409033,BP
352,0.021207485,181,GO:0060627,regulation of vesicle-mediated transport,0.060132615,BP
-393,0.021274817,144,GO:0007605,sensory perception of sound,0.060213116,BP
-684,0.021294535,47,GO:0008645,hexose transmembrane transport,0.060213116,BP
616,0.021316518,58,GO:0033555,multicellular organismal response to stress,0.060213116,BP
290,0.021531663,269,GO:0072594,establishment of protein localization to organelle,0.060744237,BP
-661,0.021636485,50,GO:0006721,terpenoid metabolic process,0.060923297,BP
778,0.021669882,36,GO:0010906,regulation of glucose metabolic process,0.060923297,BP
-481,0.021688605,95,GO:0035725,sodium ion transmembrane transport,0.060923297,BP
393,0.021703925,143,GO:0098609,cell-cell adhesion,0.060923297,BP
-712,0.021802916,43,GO:0042078,germ-line stem cell division,0.061124569,BP
473,0.021933225,98,GO:0050906,detection of stimulus involved in sensory perception,0.061367845,BP
-588,0.021944484,63,GO:1903510,mucopolysaccharide metabolic process,0.061367845,BP
694,0.022199451,45,GO:0051048,negative regulation of secretion,0.061940363,BP
518,0.022204514,81,GO:0019932,second-messenger-mediated signaling,0.061940363,BP
708,0.022434827,43,GO:1902905,positive regulation of supramolecular fiber organization,0.062504992,BP
463,0.023318645,100,GO:0042742,defense response to bacterium,0.064886665,BP
-779,0.023452724,35,GO:0008345,larval locomotory behavior,0.065178786,BP
358,0.023517037,169,GO:0050865,regulation of cell activation,0.065276534,BP
265,0.023588481,315,GO:0044087,regulation of cellular component biogenesis,0.065393809,BP
-600,0.023630749,59,GO:0006308,DNA catabolic process,0.065430011,BP
-645,0.023727665,51,GO:0021532,neural tube patterning,0.065617247,BP
677,0.023969352,46,GO:0035088;GO:0061245,establishment or maintenance of bipolar cell polarity,0.066203881,BP
823,0.024142466,31,GO:0046887,positive regulation of hormone secretion,0.066599907,BP
501,0.02430518,84,GO:0042074,cell migration involved in gastrulation,0.066966303,BP
612,0.024633521,56,GO:0018209,peptidyl-serine modification,0.067787576,BP
327,0.024719123,200,GO:0009581,detection of external stimulus,0.067939674,BP
361,0.0248723,163,GO:0035272,exocrine system development,0.068276902,BP
793,0.024965028,33,GO:0045453,bone resorption,0.068447567,BP
779,0.025448617,34,GO:0030166,proteoglycan biosynthetic process,0.069688145,BP
790,0.02554347,33,GO:0060193,positive regulation of lipase activity,0.069862481,BP
415,0.025668777,121,GO:0016055,Wnt signaling pathway,0.070119585,BP
381,0.026385365,143,GO:0035148,tube formation,0.071989304,BP
615,0.026465476,54,GO:0018105,peptidyl-serine phosphorylation,0.072120033,BP
588,0.026724918,59,GO:0007616,long-term memory,0.072651771,BP
632,0.026725473,51,GO:2001233,regulation of apoptotic signaling pathway,0.072651771,BP
551,0.026821671,67,GO:0009593,detection of chemical stimulus,0.072824901,BP
624,0.027104888,52,GO:0010466,negative regulation of peptidase activity,0.073504782,BP
571,0.02730358,62,GO:0050714,positive regulation of protein secretion,0.073954073,BP
191,0.027542006,602,GO:0048667,cell morphogenesis involved in neuron differentiation,0.074509775,BP
-532,0.027767736,71,GO:0031572,G2 DNA damage checkpoint,0.07502983,BP
588,0.027884313,58,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,0.075254049,BP
-311,0.02798953,212,GO:0000910,cytokinesis,0.075371655,BP
609,0.028047892,54,GO:0048661,positive regulation of smooth muscle cell proliferation,0.075371655,BP
802,0.028058894,31,GO:0046580;GO:0051058,negative regulation of Ras protein signal transduction,0.075371655,BP
402,0.028062482,125,GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,0.075371655,BP
390,0.028253344,133,GO:0030335,positive regulation of cell migration,0.075793402,BP
503,0.028298595,79,GO:0009895,negative regulation of catabolic process,0.075823988,BP
631,0.028388666,50,GO:0010951,negative regulation of endopeptidase activity,0.075974447,BP
578,0.029415671,59,GO:0010810,regulation of cell-substrate adhesion,0.078538945,BP
-542,0.029417042,67,GO:0030326,embryonic limb morphogenesis,0.078538945,BP
-709,0.029574365,39,GO:0006493,protein O-linked glycosylation,0.07878444,BP
683,0.029579337,42,GO:0032655,regulation of interleukin-12 production,0.07878444,BP
-515,0.029782182,74,GO:0009108,coenzyme biosynthetic process,0.079204328,BP
407,0.0298077,119,GO:0033673,negative regulation of kinase activity,0.079204328,BP
459,0.030141195,93,GO:0060828,regulation of canonical Wnt signaling pathway,0.079995589,BP
-672,0.030216585,43,GO:0016101,diterpenoid metabolic process,0.08005906,BP
-319,0.030259222,195,GO:0007584,response to nutrient,0.08005906,BP
270,0.030272332,276,GO:0006909,phagocytosis,0.08005906,BP
791,0.030322967,31,GO:0010518,positive regulation of phospholipase activity,0.080098403,BP
-754,0.030528858,34,GO:0007619,courtship behavior,0.080547281,BP
-802,0.030643969,30,GO:0031497,chromatin assembly,0.080755871,BP
446,0.030720408,98,GO:0031346,positive regulation of cell projection organization,0.080806187,BP
502,0.030735211,77,GO:0006911,"phagocytosis, engulfment",0.080806187,BP
510,0.031501604,74,GO:0014020,primary neural tube formation,0.082696414,BP
389,0.031528008,128,GO:0048599,oocyte development,0.082696414,BP
773,0.031595614,32,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,0.082776813,BP
-433,0.03167068,103,GO:0006814,sodium ion transport,0.082876547,BP
242,0.031907517,340,GO:0045597,positive regulation of cell differentiation,0.083398878,BP
-543,0.033060576,64,GO:0007447,imaginal disc pattern formation,0.08626537,BP
694,0.033081229,39,GO:0042059;GO:1901185,negative regulation of ERBB signaling pathway,0.08626537,BP
580,0.033142203,56,GO:0043331,response to dsRNA,0.086323877,BP
492,0.033186462,78,GO:0035303,regulation of dephosphorylation,0.086338764,BP
-365,0.033407835,143,GO:0045017,glycerolipid biosynthetic process,0.086813864,BP
385,0.033479294,128,GO:0052548,regulation of endopeptidase activity,0.086898746,BP
-304,0.033518442,208,GO:0040029,"regulation of gene expression, epigenetic",0.086899665,BP
171,0.033557903,707,GO:0051674,localization of cell,0.086901392,BP
650,0.033993834,44,GO:0008355,olfactory learning,0.087875249,BP
536,0.034012429,65,GO:0007043,cell-cell junction assembly,0.087875249,BP
401,0.034585098,116,GO:0012502,induction of programmed cell death,0.089251865,BP
-578,0.035210006,55,GO:0007140,male meiotic nuclear division,0.090759971,BP
-594,0.035320108,52,GO:0006333,chromatin assembly or disassembly,0.090939128,BP
-548,0.035688269,61,GO:0072329,monocarboxylic acid catabolic process,0.091729878,BP
373,0.035709131,133,GO:0002237,response to molecule of bacterial origin,0.091729878,BP
-576,0.035799775,55,GO:0007095,mitotic G2 DNA damage checkpoint,0.091817376,BP
-473,0.035825173,82,GO:0007033,vacuole organization,0.091817376,BP
-314,0.036071354,189,GO:0006091,generation of precursor metabolites and energy,0.092342667,BP
-170,0.036372019,695,GO:0006811,ion transport,0.093006076,BP
408,0.036550968,110,GO:0042176,regulation of protein catabolic process,0.09335709,BP
-302,0.036670948,203,GO:0046486,glycerolipid metabolic process,0.09355686,BP
166,0.037044509,726,GO:0042127,regulation of cell population proliferation,0.094365122,BP
401,0.037072012,113,GO:0006469,negative regulation of protein kinase activity,0.094365122,BP
773,0.037233995,30,GO:0043550,regulation of lipid kinase activity,0.094607108,BP
396,0.037251549,116,GO:0097479,synaptic vesicle localization,0.094607108,BP
543,0.037439888,61,GO:0007314,oocyte anterior/posterior axis specification,0.094977746,BP
200,0.03797176,473,GO:0048638,regulation of developmental growth,0.096127017,BP
521,0.037978754,66,GO:1902107,positive regulation of leukocyte differentiation,0.096127017,BP
-643,0.038167821,43,GO:0070207,protein homotrimerization,0.096496523,BP
-635,0.03833681,44,GO:0051302,regulation of cell division,0.09671245,BP
628,0.038339578,45,GO:0050866,negative regulation of cell activation,0.09671245,BP
-531,0.038555874,63,GO:0034219,carbohydrate transmembrane transport,0.09714866,BP
-701,0.038678973,36,GO:0048566,embryonic digestive tract development,0.097349326,BP
-293,0.038923111,210,GO:0048545,response to steroid hormone,0.097806408,BP
648,0.038947909,42,GO:0051865,protein autoubiquitination,0.097806408,BP
468,0.039055793,81,GO:0043279,response to alkaloid,0.0979675,BP
599,0.03940535,49,GO:0040024,dauer larval development,0.098733763,BP
-698,0.039539832,36,GO:0031100,animal organ regeneration,0.098960027,BP
528,0.039712297,63,GO:0002793,positive regulation of peptide secretion,0.099280744,BP
310,0.039956358,185,GO:0009101,glycoprotein biosynthetic process,0.099779534,BP
615,0.040329653,46,GO:0042058;GO:1901184,regulation of epidermal growth factor receptor signaling pathway,0.100523714,BP
563,0.040344116,55,GO:1904018,positive regulation of vasculature development,0.100523714,BP
487,0.041085156,73,GO:0042048,olfactory behavior,0.102256387,BP
587,0.04129099,50,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,0.102597856,BP
612,0.041313958,46,GO:0072384,organelle transport along microtubule,0.102597856,BP
575,0.041594255,52,GO:0090382,phagosome maturation,0.103179548,BP
-492,0.04194453,71,GO:0006275,regulation of DNA replication,0.10393335,BP
538,0.042434122,59,GO:0071219,cellular response to molecule of bacterial origin,0.105030314,BP
-414,0.042576342,100,GO:0006869,lipid transport,0.105266012,BP
660,0.042727699,39,GO:0045792,negative regulation of cell size,0.105523754,BP
-369,0.042805264,126,GO:1901293,nucleoside phosphate biosynthetic process,0.10559889,BP
386,0.042856154,115,GO:0099003;GO:0048489;GO:0097480,vesicle-mediated transport in synapse,0.105608125,BP
-686,0.042918545,36,GO:0010043,response to zinc ion,0.105627572,BP
-546,0.042979278,57,GO:0044818,mitotic G2/M transition checkpoint,0.105627572,BP
464,0.043005511,79,GO:0010324,membrane invagination,0.105627572,BP
705,0.043128141,34,GO:0034341,response to interferon-gamma,0.105812745,BP
-550,0.043243562,56,GO:0048636,positive regulation of muscle organ development,0.105979844,BP
-340,0.044568742,147,GO:0008654,phospholipid biosynthetic process,0.108868002,BP
237,0.044569089,308,GO:0030097,hemopoiesis,0.108868002,BP
300,0.044609874,190,GO:0009582,detection of abiotic stimulus,0.108868002,BP
690,0.04461644,35,GO:0060281,regulation of oocyte development,0.108868002,BP
457,0.044988054,80,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,0.109655321,BP
367,0.0451678,125,GO:0009408,response to heat,0.109973775,BP
606,0.045685518,45,GO:1900424,regulation of defense response to bacterium,0.111113529,BP
558,0.046068389,53,GO:0045766,positive regulation of angiogenesis,0.111923202,BP
657,0.046296491,38,GO:0009187,cyclic nucleotide metabolic process,0.112355515,BP
-511,0.046436559,63,GO:0006354,"DNA-templated transcription, elongation",0.112493335,BP
457,0.046453721,79,GO:0048332,mesoderm morphogenesis,0.112493335,BP
430,0.046782506,89,GO:0002700,regulation of production of molecular mediator of immune response,0.113084181,BP
484,0.046808991,70,GO:0031330,negative regulation of cellular catabolic process,0.113084181,BP
274,0.046853392,224,GO:0048749,compound eye development,0.113084181,BP
402,0.046899645,102,GO:0030168,platelet activation,0.113084181,BP
513,0.047197898,62,GO:0008358,"maternal determination of anterior/posterior axis, embryo",0.113680958,BP
513,0.047499864,62,GO:0045667,regulation of osteoblast differentiation,0.114285388,BP
-211,0.048207646,380,GO:0045786,negative regulation of cell cycle,0.11586387,BP
-324,0.048428547,156,GO:0015980,energy derivation by oxidation of organic compounds,0.116270037,BP
-709,0.048620455,32,GO:0006040,amino sugar metabolic process,0.116605802,BP
470,0.048719914,73,GO:0001843;GO:0060606,neural tube closure,0.116719366,BP
-719,0.048839345,31,GO:1990542,mitochondrial transmembrane transport,0.116880485,BP
454,0.049296273,78,GO:0099024,plasma membrane invagination,0.11784808,BP
717,0.04944252,31,GO:0032680,regulation of tumor necrosis factor production,0.11807169,BP
-197,0.049547503,434,GO:0006396,RNA processing,0.118196385,BP
-508,0.049688674,62,GO:0010972;GO:1902750,negative regulation of G2/M transition of mitotic cell cycle,0.118407054,BP
195,0.049754725,445,GO:0060548,negative regulation of cell death,0.118438454,BP
446,0.05033025,80,GO:0010632,regulation of epithelial cell migration,0.119681275,BP
714,0.050510497,31,GO:1900274,regulation of phospholipase C activity,0.119982517,BP
390,0.050630316,105,GO:1903037,regulation of leukocyte cell-cell adhesion,0.120139733,BP
-427,0.05077026,87,GO:0009063,cellular amino acid catabolic process,0.120344321,BP
231,0.051038499,308,GO:0051050,positive regulation of transport,0.120852259,BP
-598,0.051175479,44,GO:0009112,nucleobase metabolic process,0.120919534,BP
335,0.051250906,142,GO:0010721,negative regulation of cell development,0.120919534,BP
296,0.051270084,183,GO:0009266,response to temperature stimulus,0.120919534,BP
-670,0.051282838,35,GO:0006835,dicarboxylic acid transport,0.120919534,BP
-444,0.051342101,80,GO:0030703,eggshell formation,0.120931973,BP
314,0.051555148,162,GO:0007424,open tracheal system development,0.121306231,BP
-492,0.051750399,65,GO:2001020,regulation of response to DNA damage stimulus,0.121637875,BP
199,0.052071815,419,GO:0043069,negative regulation of programmed cell death,0.122265059,BP
